Timestamp,Load_Percent,Oil_Temp_C,Winding_Temp_C,Ambient_C,Fan_1_Active,Fan_1_Speed_Pct,Fan_2_Active,Critical_Alarm,Rate_Alarm,Cooling_Effort_Pct,Scenario
2026-04-19 11:58:49,122.3,41.09,60.54,28.27,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,122.24,41.32,60.74,28.31,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,122.17,41.54,60.94,28.35,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,122.1,41.76,61.14,28.38,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,122.03,41.98,61.34,28.42,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.95,42.2,61.53,28.46,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.87,42.42,61.73,28.5,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.8,42.64,61.92,28.54,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.71,42.85,62.11,28.57,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.63,43.07,62.3,28.61,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.55,43.29,62.49,28.64,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.46,43.5,62.68,28.68,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.37,43.72,62.87,28.72,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.28,43.93,63.06,28.75,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.19,44.15,63.24,28.78,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.1,44.36,63.42,28.82,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,121.0,44.57,63.61,28.85,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.91,44.79,63.79,28.89,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.81,45.0,63.97,28.92,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.72,45.21,64.15,28.95,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.62,45.42,64.33,28.98,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.52,45.63,64.51,29.01,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.42,45.84,64.69,29.05,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.32,46.04,64.87,29.08,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.22,46.25,65.04,29.11,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.12,46.46,65.22,29.14,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,120.02,46.67,65.39,29.16,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.92,46.87,65.57,29.19,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.82,47.08,65.74,29.22,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.73,47.28,65.91,29.25,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.63,47.48,66.09,29.28,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.53,47.69,66.26,29.3,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.43,47.89,66.43,29.33,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.33,48.09,66.6,29.36,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.23,48.29,66.77,29.38,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.14,48.49,66.94,29.41,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,119.04,48.69,67.11,29.43,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,118.95,48.89,67.28,29.46,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,118.85,49.09,67.45,29.48,0,0,0,0,0,0,runaway
2026-04-19 11:58:49,118.76,49.29,67.62,29.5,0,0,0,0,0,0,runaway
